Fecha (UTC),Estrategia,Motor,Modo (A/B/C),Propuesta Activa,Clase de Activo,Simbolo,Lado,Cantidad,Precio ($),Volumen ($),P&L Realizado ($),ID Orden
14/04/2026 16:53,DynamicSpotGrid,crypto,A,market-environment-analysis (Régimen),crypto,SOL/USD,BUY,0.1742,83.52,14.55,-,c75a8192-0db7-427b-8e7c-9adc3d103bfd
14/04/2026 16:56,VWAPTouch-and-Go,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,BUY,0.0002,74796.5,14.96,-,4c251e48-3e0f-49a0-8bd1-ba580fdfadb7
14/04/2026 16:56,VWAPTouch-and-Go,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,SELL,0.00139,74747.1,103.9,-0.0735,da26ff72-e66a-4794-abe0-5b9a96f59a2f
14/04/2026 17:48,VWAPTouch-and-Go,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,BUY,0.0002,74692.033,14.94,-,5616908d-3f3f-4df8-8733-fa03e8d0d360
14/04/2026 17:48,VWAPTouch-and-Go,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,SELL,0.00138,74584.61,102.93,-0.1592,644c4992-ba75-4ae5-a0ad-a3b4a1da5a28
14/04/2026 17:55,VWAPTouch-and-Go,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,BUY,0.0002,74756.8,14.95,-,98539d63-f620-4f90-9c4e-a198fe62b628
14/04/2026 17:55,VWAPTouch-and-Go,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,SELL,0.00138,74697.76,103.08,-0.0721,d92e1b8f-a65a-4208-926e-33a359c5806d
14/04/2026 18:00,VWAPTouch-and-Go,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,BUY,0.0002,74874.29,14.97,-,cc8f720f-203d-4949-aaa4-fc13d9727e7d
14/04/2026 18:00,VWAPTouch-and-Go,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,SELL,0.00138,74789.38,103.21,-0.0837,78943440-6805-4713-ace7-686a59f9764b
14/04/2026 18:13,VWAPTouch-and-Go,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,SELL,0.0075005,74636.6,559.81,559.8118,cca94525-4ed1-45d5-8835-605af6e01673
14/04/2026 18:13,VWAPTouch-and-Go,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,BUY,0.0002,74721.1,14.94,-,8a00b105-ea06-4071-8a7a-f303fad77aa7
14/04/2026 18:32,BollingerVolatilityBreak,crypto,B,market-news-analyst (Filtro Noticias),crypto,ETH/USD,BUY,0.0068,2339.7,15.91,-,cfc5b06f-2c81-4107-a139-037c5365d531
14/04/2026 18:33,SmartTWAPAccum,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,BUY,0.0002,74546.02,14.91,-,17a354a8-1a51-4cd0-bd0b-1524158bec9c
14/04/2026 18:33,EMATrendCrossover,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,SELL,0.0001995,74507.7,14.86,0.3078,59d92cc5-ce07-4c71-9b6a-3578e4875ba7
14/04/2026 18:45,DynamicSpotGrid,crypto,B,market-news-analyst (Filtro Noticias),crypto,SOL/USD,BUY,0.1776,83.19,14.77,-,3f86f066-ec5e-436a-be38-839d04543d63
14/04/2026 19:01,DynamicSpotGrid,crypto,B,market-news-analyst (Filtro Noticias),crypto,SOL/USD,BUY,0.1784,82.8,14.77,-,d869f831-6391-431b-90cc-d3d7475c42e8
14/04/2026 21:37,BollingerVolatilityBreak,crypto,B,market-news-analyst (Filtro Noticias),crypto,ETH/USD,SELL,0.006783,2319.64,15.73,-0.1361,fe6884fc-a6f1-4107-92b1-2024437aadfe
14/04/2026 21:37,BollingerVolatilityBreak,crypto,B,market-news-analyst (Filtro Noticias),crypto,ETH/USD,BUY,0.0068,2321.9,15.79,-,44415081-ae0c-4f04-8b14-16c3e37f1b04
14/04/2026 21:37,EMATrendCrossover,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,SELL,0.0001995,74103.53,14.78,0.2271,668531ee-76ec-4258-80a1-a30d59cfb388
14/04/2026 21:37,EMATrendCrossover,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,BUY,0.0002,74152.14,14.83,-,1430ce4c-fe08-4c1a-ba55-4ad1fdbfc9b8
14/04/2026 21:43,BollingerVolatilityBreak,crypto,B,market-news-analyst (Filtro Noticias),crypto,ETH/USD,SELL,0.006783,2318.303,15.73,-0.0258,e7345c38-d04c-454b-9409-feb018045f44
14/04/2026 21:43,BollingerVolatilityBreak,crypto,B,market-news-analyst (Filtro Noticias),crypto,ETH/USD,BUY,0.0068,2320.7,15.78,-,ac3f4cee-9e59-4dee-bfec-e9a263c822e4
14/04/2026 21:43,EMARibbonPullback,crypto,B,market-news-analyst (Filtro Noticias),crypto,BCH/USD,BUY,0.0342,436.643,14.93,-,fda2dc13-5555-4d36-b080-cc1304cdb62a
