date,sym,reason,pnl
2022-01-25,SQQQ,TakeProfit,1.6727
2022-01-28,SQQQ,StopLoss,-0.7983
2022-02-02,SQQQ,MACD>=0,-0.5615
2022-02-23,SQQQ,TakeProfit,1.2838
2022-02-28,SQQQ,MACD>=0,-0.7459
2022-03-09,SQQQ,StopLoss,-1.1652
2022-03-14,SQQQ,TakeProfit,1.4443
2022-03-16,SQQQ,MACD>=0,-1.3824
2022-04-14,SQQQ,TakeProfit,1.05
2022-04-19,SQQQ,StopLoss,-0.8012
2022-04-22,SQQQ,TakeProfit,1.7068
2022-04-26,SQQQ,TakeProfit,1.3178
2022-04-28,SQQQ,StopLoss,-1.3063
2022-05-04,SQQQ,StopLoss,-1.8078
2022-05-09,SQQQ,TakeProfit,1.8883
2022-05-12,SQQQ,TakeProfit,1.1267
2022-05-18,SQQQ,TakeProfit,1.0809
2022-05-25,SQQQ,MACD>=0,-0.3096
2022-06-15,SQQQ,StopLoss,-0.9818
2022-06-21,SQQQ,StopLoss,-1.2934
2022-06-24,SQQQ,MACD>=0,-1.726
2022-08-26,SQQQ,TakeProfit,1.6722
2022-09-02,SQQQ,TakeProfit,1.1251
2022-09-07,SQQQ,StopLoss,-0.7449
2022-09-09,SQQQ,StopLoss,-0.7946
2022-09-13,SQQQ,TakeProfit,1.961
2022-09-21,SQQQ,TakeProfit,1.5501
2022-09-30,SQQQ,TakeProfit,1.718
2022-10-04,SQQQ,StopLoss,-1.1755
2022-10-17,SQQQ,MACD>=0,-0.6149
2022-11-07,SQQQ,StopLoss,-0.9632
2022-11-10,SQQQ,MACD>=0,-2.0373
2022-12-13,SQQQ,StopLoss,-0.8629
2022-12-15,SQQQ,TakeProfit,1.1516
2022-12-27,SQQQ,TakeProfit,1.3551
2022-12-29,SQQQ,StopLoss,-0.9057
,SQQQ,EndOfPeriod,-0.0242
2022-01-31,SPXU,StopLoss,-1.0044
2022-02-23,SPXU,TakeProfit,1.2887
2022-02-25,SPXU,StopLoss,-0.847
2022-03-02,SPXU,MACD>=0,-0.1421
2022-03-16,SPXU,MACD>=0,-1.4446
2022-04-22,SPXU,TakeProfit,1.066
2022-04-29,SPXU,TakeProfit,1.2622
2022-05-04,SPXU,StopLoss,-1.286
2022-05-09,SPXU,TakeProfit,1.3693
2022-05-17,SPXU,StopLoss,-0.8907
2022-05-24,SPXU,MACD>=0,-0.2504
2022-06-24,SPXU,StopLoss,-1.6572
2022-08-30,SPXU,TakeProfit,1.3109
2022-09-09,SPXU,StopLoss,-1.0294
2022-09-13,SPXU,TakeProfit,1.5034
2022-09-21,SPXU,TakeProfit,1.4883
2022-09-29,SPXU,TakeProfit,1.0956
2022-10-03,SPXU,StopLoss,-0.9885
2022-10-05,SPXU,MACD>=0,0.0469
2022-10-13,SPXU,MACD>=0,-0.852
2022-12-13,SPXU,StopLoss,-0.7471
2022-12-16,SPXU,TakeProfit,1.3415
,SPXU,EndOfPeriod,-0.23
