date,sym,reason,pnl
2022-02-04,BTC-USD,BBmid,3.647
2022-05-11,BTC-USD,SL,-0.9534
2022-06-16,BTC-USD,SL,-1.9347
2022-11-23,BTC-USD,RSI>50,0.8808
2022-01-08,ETH-USD,SL,-0.6783
2022-06-16,ETH-USD,SL,-2.3187
